番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
赐予护女神的祝福,奇幻+萌系,12.5万,1.7万,3686,2006年10月开播,已完结， 全24话,高橋美佳子、小野大輔、能登麻美子、小菅真美,世上有一种被称为ピアトリス的神奇物质，可以在人的意志之下化梦想为现实。憧憬新时代能源的吉村护，满怀期待的想要进入东京ピアトリス综合大学附属高等学校，然而等待他的是千人选一的入学考试…… 刚转学而来的吉村护，突然遭遇了2年级学生治安部长鹰栖绚子的告白：“请你……和……我……请和我交往吧！”。作为某位大政治家的孙女千金小姐绚子，是一个长相美丽善良能够击落彗星的少女，同时也是被称为“魔女ピアトリーチェ”和“ピアトリス的死天使”的新时代ピアトリス能源使用者的天才。
南家三姐妹 夏日假期,日常+搞笑+萌系,26.6万,1.7万,1.2万,2013年8月开播,已完结， 全1话,井上麻里奈、佐藤利奈、茅原実里、喜多村英梨、水樹奈々、小野大輔、後藤沙緒里、森永理科、吉野裕行,与第11卷限定版同步同捆出售，沿用第4季电视动画制作团队，由原作作者提供剧本，收录漫画第200话的长篇故事以及一个短篇。
HELLSING 外传：THE DAWN,热血+奇幻+猎奇+战斗,62.5万,1.7万,4.1万,2011年7月开播,已完结， 全3话,中田譲治、折笠富美子、榊原良子、清川元梦,HELLSING的外传THE DAWN，共三话，第一话为年轻的死神管家篇。
生存游戏社 OVA,少女+日常+搞笑+社团,46.4万,1.7万,7669,2014年7月开播,已完结， 全6话,Lynn、大久保瑠美、内山夕実、大橋彩香、東山奈央、悠木碧、荒井聡太、松井恵理子、東山奈央,故事主要讲述了刚转入梧桐学园高中的女高中生园川桃香，就被生存游戏社的社长——在该学园中有着大人气的超级美女凤美煌硬拉入了生存游戏社，就这样包含了“生存游戏”这一要素的日常学园喜剧正式拉开帷幕…… 
咕噜咕噜魔法阵,奇幻+萌系,32.5万,1.7万,1.6万,1994年10月开播,已完结， 全45话,瀧本富士子、吉田小南美、緒方賢一、高乃麗、松井菜桜子、天野由梨、西川幾雄,《咕噜咕噜魔法阵》，又译《魔法阵天使》，是卫藤ヒロユキ原著的一个以搞笑为主的魔法冒险动画、漫画，其内容情节很多仿照电子游戏。故事内容为，300年前被封印的魔王纪力再次复活，主角尼克和柯柯丽须合力再次把纪力封印。沿途上二人路经不同的村落，接触不同的人，并透过修行提升等级。外传有《舞勇传吉他吉他》。本作正式确定将推出续篇作品的漫画连载，《咕噜咕噜魔法阵 2（魔法阵グルグル2）》自 2012年 11 月 1 日起于日本 SQUARE ENIX 旗下漫画杂志 GANGAN ONLINE 中开始进行连载。
最游记RELOAD,热血+奇幻+基腐,22.1万,1.7万,2.8万,2003年10月开播,已完结， 全25话,保志総一朗、関俊彦、平田広明、石田彰、草尾毅、皆口裕子、茂呂田かおる,天地混乱的混沌时代--有一块人和妖怪共存的土地，那里是文明和信仰之源--桃源乡。突然的异变和恐怖袭击了那土地，以往平稳生活着的的妖怪们失去了自我开始了暴走。异变的元凶是“将过去的大妖怪牛魔王给复活了”这件事。由于在这个世界上被禁忌着的科学和妖术，现在牛魔王的复活要被完成了，负波动覆盖着大地。看重这事态的天界，下达了请唐三藏去阻止牛魔王复苏实验的命令。同那不怕负波动的三人，孙悟空，沙悟浄，猪八戒一起前往遥远的西天·天竺国的旅行开始了。与此同时，在天竺国吠登城里，牛魔王复苏实验的策划者张本人，牛魔王的情人玉面公主，向红孩儿下达了除掉三藏一行的抹杀令。红孩儿是牛魔王的儿子，为了救出被玉面公主诅咒封印起来的母亲，同仰仗他的心腹一起发起了挑战。三藏他们能阻止牛魔王复苏实验，能使走向毁灭的桃源乡再次恢复和平吗？
小马宝莉 第二季,萌系,66.4万,1.7万,5.8万,2011年9月开播,已完结， 全26话,Tara Strong、Ashleigh Ball、Ashleigh Ball、Tabitha St..,动画讲述了一只名叫做暮光闪闪/紫悦（Twilight Sparkle）的独角兽，要执行她导师塞拉斯缇娅公主/宇宙公主（Princess Celestia）的任务，在小马镇/小马谷（Ponyville）学习关于友谊的知识。她与另外五只小马，苹果杰克/苹果嘉儿（Applejack）、瑞瑞/珍奇（Rarity）、云宝黛西/云宝（Rainbow Dash）、小蝶/柔柔（Fluttershy）与萍琪/碧琪（Pinkie Pie），成为最要好的朋友。每只小马都分别代表了友谊的6个元素：诚实，慷慨，忠心，善良，欢笑，魔法，并在谐率水晶/和谐之元（Elements of Harmony）中，各自扮演着属于自己的重要角色。在动画中，随时可见她们在小马镇/小马谷（Ponyville）的种种冒险、奇遇、日常等等。同时，也在她们之间的互动和冲突中，寻找着最适合最合理的完美解决方案。“尽管小马国并不太平，六位主角之间也常常有这样那样的问题，但是他们之间的真情对代，使得这个童话世界已经成为不少人心中理想的世外桃源。”
迷宫塔 ～乌鲁克之盾～,热血+奇幻+科幻,21.3万,1.7万,1.4万,2008年4月开播,已完结， 全13话,KENN、郷田ほづみ、折笠富美子、茅原実里、堀江由衣、矢島晶子、志村知幸、黒田崇矢、石田彰,网络游戏改，讲述吉尔勇闯迷宫塔进行冒险。 　　《龙之塔》说的是为了救回被恶魔德鲁亚加抓住的恋人卡依，主人公吉尔成为黄金骑士，登上60层的“德鲁亚加之塔”一边与怪物作战，一边向最上层前进的幻想故事。 　　上世纪八十年代被开发以来，曾在当时备受追捧，而此次的动画片是以原作的80后的世界为舞台原创的故事。 　　动画监督是指导过动画片《青之六号》《Last Exile》的千明孝一担任，动画构成请来了小说《全金属狂潮！》动画版系列指导，《凉宫春日的忧郁》和《Lucky Star》的脚本作者贺东招二。担任人设的是因动画《爆裂天使》而大受欢迎的原画家白亚右月，而当年主持动画制作的远藤雅伸也将参与作品的监修。
爆走猎人,热血+奇幻,12.6万,1.7万,2598,1995年10月开播,已完结， 全26话,古本新之辅、真殿光昭、林原惠、水谷优子、梁田清之,故事设定在的史普纳坦大陆，那里的人民分为两种：普通平民和会使用魔法的法族。而史普纳坦大陆一直是在少数能使用魔法的法族统治著平民，对平民来说，法族的高压统治过于残酷，无意的平民只能含泪忍受，不过在他们身上还有一道希望，那就是代替上天惩罚作恶法族的执行者，人们都称他们叫作‘爆走猎人’。他们在大领主的指挥下，保护平民免于受到法族的迫害。故事的重点在于一个法族猎人小队的冒险，包括葛雷瑟兄弟（凯洛特和他的弟弟马龙），和他们的童年时代的朋友-米丝姐妹（蒂拉和她的姐姐休可拉），以及后来加入的卡特。
圣诞之吻SS OVA,后宫+日常+治愈+校园+恋爱,-,1.7万,-,2011年6月开播,已完结， 全2话,阿澄佳奈、野上由加奈、伊藤静、名塚佳織、今野宏美、佐藤利奈、新谷良子、斎藤桃子、前野智昭,アマガミ（Amagami）是2009年Enterbrain发售的、Play Station2用恋爱模拟游戏软件。又名甜蜜吻痕.已经动画化为2010七月新番.玩家在游戏中将化身为心灵受创的男主角，为在圣诞前夕约到喜欢的女孩一起渡过平安夜而努力，6位女主角个性迥异，从可望不可及的学姐、倾慕主角的朋友、可爱的妹妹到丰腴的青梅竹马等，玩家将在寒冬中与少女们展开一件又一件温暖人心的动人故事。
交响诗篇 AO,热血+科幻+催泪+机战,88.1万,1.7万,5.9万,2012年4月开播,已完结， 全24话,本城雄太郎、吐鲁斯、宮本佳那子、藤原啓治、名塚佳織、小見川千明、大橋彩香、小村哲生,与前作女主角优莱卡一样拥有一头青色头发的男主角是一名13岁少年，名字叫做弗卡依 青，目前弗卡依的父亲行踪不明，而母亲也在10年前不知被谁带走了。现在正与诊疗所里的老医生托斯奥一同生活。而女主角阿拉塔 娜露同样也是13岁，是与弗卡依一同成长的青梅竹马，阿拉塔因为童年时的事故而使拥有“犹达”力量的眼睛觉醒。阿拉塔自少身体便虚弱，需要把酸素放入在手上的酸素吸入器，现与父亲、妹妹及祖母一同生活中。本作的舞台也设定在冲绳的磐户岛上，当时的磐户岛正进行着自治权回复运动，但在某一天，在岛上出现的“珊瑚岩”受到了外界的攻击，而为了保护磐户岛，男主角弗卡依与人型LFO(Light Finding Operation)相遇的故事就此展开了。 
我的女神 缤纷之翼,后宫+治愈+奇幻+时泪,26.1万,1.7万,1.9万,2006年4月开播,已完结， 全24话,井上喜久子、菊池正美、冬馬由美、高島雅羅、久川綾、佐久間レイ、高乃麗、能登麻美子,在猫实市的某座寺庙里，住着大学生森里萤一与三位女神。一年前，萤一错打电话到女神事务所，阴差阳错之下与女神贝璐丹蒂开始了同居生活。之后，贝璐丹蒂的两位妹妹也住进了寺庙。这一天，女神事务所的数据出现了问题，萤一的契约可能会被取消？！唯一恢复契约的方式就是萤一再次说出一年前的愿望，可是他却忘了当时所说的话究竟是什么……萤一到底许下了什么愿望，他与贝璐丹蒂的幸福生活能否继续？为了明天的幸福，今天一定要想起许下的心愿哦。根据藤岛康介同名漫画改编的TV版动画第2季。
Dimension W~维度战记~ OVA,科幻+战斗,9.7万,1.7万,820,2017年5月开播,已完结， 全1话,小野大輔、上田麗奈、石田彰、斉藤貴美子、鈴木絵理、松岡禎丞、、中村悠一、鳥海浩輔,21世纪最大的发现与发明——次元间电磁诱导装置，通称[线圈]。通过线圈，人类获得了无穷无尽的能量。通过不断朝小型进化的线圈自由地获得电力已经成为可能，这个发明正推动着整个世界，开启了崭新的时代。描绘出科学与人类应该前往的未来“progressivesF”始动！有利必有弊，犯罪者们获得能量武器也更加容易，因此产生了处理此类问题的回收者。这是一个回收者的故事。
飞轮少年,热血+运动,28.8万,1.6万,1.1万,2006年4月开播,已完结， 全25话,鎌苅健太、伊瀬茉莉也、田中理恵、菊池こころ,以暴风族的名义自由得穿梭在夜空中的空中轮鞋！故事的中心内容要讲述的就是众多的暴风族组成的AT队伍之间的“零件战”比赛。故事的主角阿树，带领着自己的队伍“小乌丸”走向了比赛。为了要成为传说中鼎立于天空的“空之王”而努力着。
信长之枪,科幻,98.3万,1.6万,4.3万,2014年1月开播,已完结， 全13话,武藤志織、浅川悠、井上遥乃、鈴木達央、田村睦心、持月玲依,2013年，因为修学旅行而来到台湾的女高中生小椋汐，遭到了突然出现的怪兽“进化侵略体”的袭击。在军队完全没用的时候，谜之男子们出现在面前，他们是超国家机关“DOGOO”的代理人，继承了“伟人之魂”，并将这股力量用之战斗的“E遗传子持有者”。终于，在友人面临危机之际，小椋汐身上的“伟人之魂”也觉醒了……《信长之枪》是日本漫画家久正人自2011年开始在杂志《COMIC Earth Star》上连载的漫画作品，标题来自信长和枪的组合词。
快盗天使TWIN ANGEL,百合+热血,17.4万,1.6万,2.2万,2011年7月开播,已完结， 全12话,釘宮理恵、能登麻美子、田村ゆかり、檜山修之、,《快盗天使》原是由SAMMY公司开发的一个萌系博彩机游戏上的两个少女，类似于形象代言人或者看板娘。ACG化的剧情讲述了一对青梅竹马的好友兼同学，两人每天繁忙地过着学习、社团生活、及学园祭准备的日子。但是，这样的两个人一到晚上，就会变身成为另一个形象——怪盗天使双胞胎，为了取回被夺走的天使像，今夜也将与黑暗的地下拍卖组织Black auction进行战斗哦！ 
